Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,1.527,0,0.995926,278.15,10.1021/je200856f
NG,1.551,0,0.991967,278.15,10.1021/je200856f
NG,1.515,0,0.984698,278.15,10.1021/je200856f
NG,1.577,0,0.966337,278.15,10.1021/je200856f
NG,1.601,0,0.953346,278.15,10.1021/je200856f
NG,1.631,0,0.935282,278.15,10.1021/je200856f
NG,1.695,0,0.917115,278.15,10.1021/je200856f
NG,1.741,0,0.905074,278.15,10.1021/je200856f
NG,1.762,0,0.888039,278.15,10.1021/je200856f
NG,1.791,0,0.876959,278.15,10.1021/je200856f
NG,1.862,0,0.856202,278.15,10.1021/je200856f
NG,1.936,0,0.826263,278.15,10.1021/je200856f
NG,2.077,0,0.782602,278.15,10.1021/je200856f
NG,1.151,0,0.995926,288.15,10.1021/je200856f
NG,1.17,0,0.991967,288.15,10.1021/je200856f
NG,1.164,0,0.984698,288.15,10.1021/je200856f
NG,1.192,0,0.966337,288.15,10.1021/je200856f
NG,1.211,0,0.953346,288.15,10.1021/je200856f
NG,1.237,0,0.935282,288.15,10.1021/je200856f
NG,1.287,0,0.917115,288.15,10.1021/je200856f
NG,1.323,0,0.905074,288.15,10.1021/je200856f
NG,1.342,0,0.888039,288.15,10.1021/je200856f
NG,1.364,0,0.876959,288.15,10.1021/je200856f
NG,1.417,0,0.856202,288.15,10.1021/je200856f
NG,1.476,0,0.826263,288.15,10.1021/je200856f
NG,1.587,0,0.782602,288.15,10.1021/je200856f
NG,0.875,0,0.995926,298.15,10.1021/je200856f
NG,0.888,0,0.991967,298.15,10.1021/je200856f
NG,0.903,0,0.984698,298.15,10.1021/je200856f
NG,0.908,0,0.966337,298.15,10.1021/je200856f
NG,0.928,0,0.953346,298.15,10.1021/je200856f
NG,0.95,0,0.935282,298.15,10.1021/je200856f
NG,0.984,0,0.917115,298.15,10.1021/je200856f
NG,1.009,0,0.905074,298.15,10.1021/je200856f
NG,1.023,0,0.888039,298.15,10.1021/je200856f
NG,1.043,0,0.876959,298.15,10.1021/je200856f
NG,1.082,0,0.856202,298.15,10.1021/je200856f
NG,1.127,0,0.826263,298.15,10.1021/je200856f
NG,1.234,0,0.782602,298.15,10.1021/je200856f
NG,0.715,0,0.995926,308.15,10.1021/je200856f
NG,0.724,0,0.991967,308.15,10.1021/je200856f
NG,0.732,0,0.984698,308.15,10.1021/je200856f
NG,0.746,0,0.966337,308.15,10.1021/je200856f
NG,0.757,0,0.953346,308.15,10.1021/je200856f
NG,0.774,0,0.935282,308.15,10.1021/je200856f
NG,0.811,0,0.917115,308.15,10.1021/je200856f
NG,0.826,0,0.905074,308.15,10.1021/je200856f
NG,0.835,0,0.888039,308.15,10.1021/je200856f
NG,0.854,0,0.876959,308.15,10.1021/je200856f
NG,0.884,0,0.856202,308.15,10.1021/je200856f
NG,0.921,0,0.826263,308.15,10.1021/je200856f
NG,1.007,0,0.782602,308.15,10.1021/je200856f
NG,0.633,0,0.995926,318.15,10.1021/je200856f
NG,0.61,0,0.991967,318.15,10.1021/je200856f
NG,0.623,0,0.984698,318.15,10.1021/je200856f
NG,0.638,0,0.966337,318.15,10.1021/je200856f
NG,0.646,0,0.953346,318.15,10.1021/je200856f
NG,0.656,0,0.935282,318.15,10.1021/je200856f
NG,0.694,0,0.917115,318.15,10.1021/je200856f
NG,0.69,0,0.905074,318.15,10.1021/je200856f
NG,0.702,0,0.888039,318.15,10.1021/je200856f
NG,0.721,0,0.876959,318.15,10.1021/je200856f
NG,0.747,0,0.856202,318.15,10.1021/je200856f
NG,0.776,0,0.826263,318.15,10.1021/je200856f
NG,0.843,0,0.782602,318.15,10.1021/je200856f